Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
6,4.6069336,25.36201,64,4.0022254,-2.281672,0.0,994946
5,3.924652,37.50592,64,3.7365148,-1.200563,0.0,994946
4,2.6265411,77.82628,1,2.6124506,-0.27169874,0.0,994946
3,1.550354,264.4945,1,1.5420369,0.16037412,0.0,994946
2,1.504242,320.55722,1,1.4321326,0.46015215,0.0,994946
1,1.1717529,352.65543,1,1.0179482,0.58033305,0.0,994946
0,1.0211334,550.0023,9,0.7640452,0.67745733,0.0,994946
7,0.67315674,543.5135,9,0.5036777,-0.44659683,0.0,995155
6,0.94537354,438.2922,1,0.8212834,-0.46821433,0.0,995155
5,1.4360046,56.908195,64,1.3671664,-0.43927816,0.0,995155
4,1.9580688,63.16307,64,1.9475645,-0.20254959,0.0,995155
3,1.472229,330.21008,1,1.464331,0.1522926,0.0,995155
2,0.65875244,135.1948,1,0.6271736,0.20151436,0.0,995155
1,0.54312134,425.9328,1,0.471831,0.26899123,0.0,995155
0,0.8926239,559.19275,9,0.6678902,0.5921994,0.0,995155
7,0.6837311,509.21234,9,0.51158977,-0.45361224,0.0,995364
6,0.8792114,429.62054,1,0.76380575,-0.4354463,0.0,995364
5,0.6032715,495.18796,9,0.57435226,-0.18454257,0.0,995364
4,0.56507874,258.4846,1,0.56204724,-0.05845375,0.0,995364
3,0.5543518,452.17392,1,0.5513779,0.057344116,0.0,995364
2,0.5730896,495.85556,9,0.5456172,0.17530984,0.0,995364
1,0.49247742,533.2146,9,0.42783463,0.24390887,0.0,995364
0,0.7909546,568.1204,9,0.5918179,0.52474827,0.0,995364
7,0.7623596,186.35335,1,0.57042223,-0.5057773,0.0,995576
6,0.932251,85.145386,1,0.80988336,-0.46171516,0.0,995576
5,1.113266,37.900665,64,1.059899,-0.34055144,0.0,995576
4,1.3531952,48.950394,64,1.3459357,-0.1399793,0.0,995576
3,0.63557434,204.61507,1,0.6321647,0.06574606,0.0,995576
2,0.549881,295.96317,1,0.5235212,0.16821025,0.0,995576
1,0.5012665,545.9862,9,0.43547004,0.24826182,0.0,995576
0,0.7116852,550.502,9,0.532506,0.472158,0.0,995576
7,4.3597717,15.356693,64,3.2621229,-2.8924322,0.0,995782
6,3.4184875,23.76301,64,2.9697754,-1.6930714,0.0,995782
5,3.094757,33.500046,64,2.9464028,-0.94669557,0.0,995782
4,2.8274078,54.56079,1,2.8122396,-0.2924771,0.0,995782
3,1.5905151,148.53886,1,1.5819825,0.16452852,0.0,995782
2,1.1815948,188.13162,1,1.1249523,0.36145344,0.0,995782
1,0.58551025,163.55365,1,0.50865597,0.28998518,0.0,995782
0,0.67874146,539.47595,9,0.50785637,0.45030195,0.0,995782
7,1.1553497,25.987476,1,0.8644702,-0.76650137,0.0,995991
6,3.414917,27.677317,1,2.9666736,-1.691303,0.0,995991
5,3.028946,39.52048,1,2.8837464,-0.9265637,0.0,995991
4,2.7938385,68.299835,1,2.7788506,-0.28900456,0.0,995991
3,2.4014282,89.39938,1,2.3885453,0.24841225,0.0,995991
2,1.2667847,124.2164,1,1.2060584,0.38751325,0.0,995991
1,0.6859436,249.72469,1,0.5959064,0.33972672,0.0,995991
0,0.688385,508.29352,9,0.515072,0.45669985,0.0,995991
7,1.2083893,23.926638,1,0.9041561,-0.80168974,0.0,996200
6,3.3839722,28.170666,1,2.9397905,-1.675977,0.0,996200
5,3.0150757,41.144325,1,2.870541,-0.9223208,0.0,996200
4,2.7662354,70.82945,1,2.7513955,-0.2861492,0.0,996200
3,2.4225006,90.83864,1,2.4095047,0.25059205,0.0,996200
2,1.3676605,105.50194,1,1.3020985,0.4183715,0.0,996200
1,0.7875519,202.49088,1,0.6841775,0.39005014,0.0,996200
0,0.730011,420.65167,1,0.5462179,0.48431602,0.0,996200
7,3.7586975,21.682362,1,2.8123796,-2.4936576,0.0,996409
6,3.4022675,28.313618,1,2.9556844,-1.6850381,0.0,996409
5,2.9983673,39.651505,1,2.8546336,-0.9172096,0.0,996409
4,2.7513885,69.22293,1,2.7366283,-0.2846134,0.0,996409
3,2.434784,89.8683,1,2.4217222,0.25186267,0.0,996409
2,1.4345398,116.45498,1,1.3657718,0.43883005,0.0,996409
1,0.8593292,211.13596,1,0.74653333,0.42559925,0.0,996409
0,0.76226807,419.26797,1,0.57035375,0.50571656,0.0,996409
