Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
6,3.2814178,88.81438,1,2.8506975,-1.625185,0.0,986585
5,2.7466888,126.07275,1,2.61502,-0.8402204,0.0,986585
4,2.4672394,231.08116,1,2.4540033,-0.25522,0.0,986585
3,2.3683167,294.99512,1,2.3556113,0.24498707,0.0,986585
2,2.3742218,231.61273,1,2.260408,0.72628164,0.0,986585
1,1.7075958,289.0475,1,1.4834561,0.8457195,0.0,986585
0,1.6550751,505.43765,9,1.2383809,1.0980375,0.0,986585
7,0.89004517,50.963356,1,0.66596067,-0.59048855,0.0,986794
7,4.8660126,41.333683,64,3.6409087,-3.228291,0.0,986794
6,3.9428558,55.30629,1,3.425315,-1.9527749,0.0,986794
5,2.8885345,91.67615,1,2.750066,-0.88361144,0.0,986794
4,2.5689697,176.4541,1,2.555188,-0.26574335,0.0,986794
3,2.3936462,250.77382,1,2.380805,0.24760726,0.0,986794
2,1.6587372,322.89563,1,1.5792217,0.50741273,0.0,986794
1,1.0225983,488.10645,9,0.8883716,0.5064614,0.0,986794
0,0.9054413,535.91364,9,0.6774806,0.60070294,0.0,986794
7,0.99461365,242.79445,1,0.7442022,-0.6598631,0.0,987003
6,1.8869629,38.02034,64,1.6392794,-0.9345545,0.0,987003
6,4.521866,35.811752,64,3.9283237,-2.2395406,0.0,987003
5,4.213043,53.109665,64,4.011081,-1.2887826,0.0,987003
4,2.6690826,109.63925,1,2.654764,-0.27609938,0.0,987003
3,1.6543884,368.8214,1,1.6455132,0.17113581,0.0,987003
2,1.5284729,484.72934,9,1.455202,0.46756446,0.0,987003
1,0.98428345,483.01755,9,0.85508597,0.48748523,0.0,987003
0,0.81811523,568.22784,9,0.61214036,0.54276764,0.0,987003
7,1.0323181,371.79822,1,0.7724139,-0.68487763,0.0,987214
6,1.7932892,169.23859,1,1.5579013,-0.8881608,0.0,987214
5,1.6493683,116.68309,1,1.570302,-0.50454676,0.0,987214
4,2.0462189,86.60402,1,2.0352416,-0.21166813,0.0,987214
3,1.5360718,387.29486,1,1.5278312,0.15889671,0.0,987214
2,1.4333954,189.09862,1,1.3646822,0.43848,0.0,987214
1,0.8573456,564.555,9,0.74481004,0.4246168,0.0,987214
0,0.74272156,563.9851,9,0.5557284,0.4927487,0.0,987214
7,1.078064,526.9787,9,0.8066425,-0.7152271,0.0,987421
6,1.6935272,373.14404,1,1.4712341,-0.8387518,0.0,987421
5,0.76490784,144.78499,1,0.7282402,-0.23398761,0.0,987421
4,0.67445374,254.85025,1,0.6708355,-0.069767885,0.0,987421
3,0.35894775,520.4227,9,0.3570221,0.03713083,0.0,987421
2,0.33937073,509.06686,9,0.3231022,0.10381453,0.0,987421
1,0.7106323,553.8029,9,0.61735445,0.35195428,0.0,987421
0,0.67230225,568.5666,9,0.50303835,0.44602993,0.0,987421
7,0.21951294,550.1764,9,0.16424671,-0.14563292,0.0,987630
6,1.577591,518.0117,9,1.3705157,-0.78133214,0.0,987630
5,0.7633667,233.67961,1,0.72677296,-0.23351617,0.0,987630
4,0.650589,385.60742,1,0.6470988,-0.06729923,0.0,987630
3,0.36618042,525.16785,9,0.36421597,0.037879,0.0,987630
2,0.3432312,518.0635,9,0.3267776,0.10499546,0.0,987630
1,0.6059723,535.10614,9,0.5264321,0.30011937,0.0,987630
0,0.61279297,568.4735,9,0.4585116,0.4065493,0.0,987630
7,0.292984,246.72198,1,0.21922015,-0.19437632,0.0,987837
6,0.9081726,445.61523,1,0.7889655,-0.44978988,0.0,987837
5,0.7630005,438.27203,1,0.7264243,-0.23340416,0.0,987837
4,0.7352295,312.2014,1,0.7312852,-0.076054744,0.0,987837
