Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
16866094,8,19.42,2.76,2.07,-1.83,0,1
16866094,7,23.42,2.35,2.04,-1.16,0,1
16866094,6,27.01,2.21,2.1,-0.68,0,1
16866094,5,42.34,2.05,2.04,-0.21,0,1
16866094,4,43.16,2.06,2.05,0.21,0,1
16866094,3,25.16,2.19,2.08,0.67,0,1
16866094,2,17.18,2.27,1.97,1.13,0,1
16866094,1,13.02,2.75,2.06,1.82,0,1
16866303,8,19.41,2.76,2.07,-1.83,0,1
16866303,7,23.37,2.35,2.04,-1.16,0,1
16866303,6,26.94,2.21,2.1,-0.68,0,1
16866303,5,42.32,2.05,2.04,-0.21,0,1
16866303,4,43.12,2.06,2.05,0.21,0,1
16866303,3,25.16,2.19,2.08,0.67,0,1
16866303,2,17.22,2.27,1.97,1.13,0,1
16866303,1,12.84,2.74,2.05,1.82,0,1
16866512,8,19.4,2.77,2.07,-1.84,0,1
16866512,7,23.41,2.35,2.04,-1.16,0,1
16866512,6,26.95,2.21,2.11,-0.68,0,1
16866512,5,42.29,2.05,2.04,-0.21,0,1
16866512,4,43.1,2.06,2.05,0.21,0,1
16866512,3,25.11,2.19,2.08,0.67,0,1
16866512,2,17.22,2.27,1.98,1.13,0,1
16866512,1,12.97,2.75,2.06,1.82,0,1
16866721,8,19.4,2.77,2.07,-1.84,0,1
16866721,7,23.41,2.35,2.04,-1.16,0,1
16866721,6,26.99,2.21,2.11,-0.68,0,1
16866721,5,42.3,2.05,2.04,-0.21,0,1
16866721,4,43.12,2.06,2.05,0.21,0,1
16866721,3,25.09,2.19,2.09,0.67,0,1
16866721,2,17.21,2.28,1.98,1.13,0,1
16866721,1,13,2.75,2.06,1.83,0,1
16866930,8,19.4,2.77,2.07,-1.84,0,1
16866930,7,23.39,2.35,2.04,-1.16,0,1
16866930,6,26.99,2.21,2.11,-0.68,0,1
16866930,5,42.33,2.05,2.04,-0.21,0,1
16866930,4,43.1,2.06,2.05,0.21,0,1
16866930,3,25.12,2.19,2.09,0.67,0,1
16866930,2,17.18,2.28,1.98,1.13,0,1
16866930,1,12.9,2.75,2.06,1.83,0,1
16867139,8,19.42,2.77,2.07,-1.84,0,1
16867139,7,23.44,2.35,2.04,-1.16,0,1
16867139,6,26.99,2.21,2.11,-0.68,0,1
16867139,5,42.37,2.05,2.04,-0.21,0,1
16867139,4,43.14,2.07,2.05,0.21,0,1
16867139,3,25.09,2.19,2.09,0.67,0,1
16867139,2,17.21,2.28,1.98,1.13,0,1
16867139,1,12.83,2.75,2.06,1.82,0,1
16867348,8,19.4,2.77,2.07,-1.84,0,1
16867348,7,23.36,2.35,2.04,-1.16,0,1
16867348,6,27.01,2.21,2.11,-0.68,0,1
16867348,5,42.32,2.05,2.04,-0.21,0,1
16867348,4,43.09,2.07,2.05,0.21,0,1
16867348,3,25.09,2.19,2.09,0.67,0,1
16867348,2,17.22,2.28,1.98,1.13,0,1
16867348,1,12.79,2.74,2.05,1.82,0,1
16867557,8,19.47,2.77,2.07,-1.84,0,1
16867557,7,23.39,2.35,2.04,-1.16,0,1
16867557,6,27.03,2.21,2.11,-0.68,0,1
16867557,5,42.35,2.05,2.04,-0.21,0,1
16867557,4,43.09,2.07,2.05,0.21,0,1
16867557,3,25.13,2.19,2.09,0.67,0,1
16867557,2,17.24,2.28,1.98,1.13,0,1
16867557,1,12.87,2.75,2.06,1.82,0,1
16867766,8,19.43,2.77,2.07,-1.84,0,1
16867766,7,23.37,2.35,2.04,-1.16,0,1
16867766,6,26.94,2.21,2.1,-0.68,0,1
16867766,5,42.35,2.05,2.04,-0.21,0,1
16867766,4,43.04,2.07,2.05,0.21,0,1
16867766,3,25.11,2.19,2.08,0.67,0,1
16867766,2,17.18,2.27,1.97,1.13,0,1
16867766,1,12.98,2.74,2.05,1.82,0,1
16867974,8,19.37,2.77,2.07,-1.84,0,1
16867974,7,23.4,2.35,2.04,-1.16,0,1
16867974,6,26.96,2.21,2.1,-0.68,0,1
16867974,5,42.35,2.05,2.04,-0.21,0,1
16867974,4,43.12,2.06,2.05,0.21,0,1
16867974,3,25.12,2.19,2.08,0.67,0,1
16867974,2,17.16,2.27,1.97,1.13,0,1
16867974,1,13.01,2.74,2.05,1.82,0,1
16868184,8,19.41,2.77,2.07,-1.83,0,1
16868184,7,23.37,2.35,2.04,-1.16,0,1
16868184,6,27,2.21,2.1,-0.68,0,1
16868184,5,42.36,2.05,2.04,-0.21,0,1
16868184,4,43.15,2.06,2.05,0.21,0,1
16868184,3,25.19,2.19,2.08,0.67,0,1
16868184,2,17.22,2.27,1.97,1.13,0,1
16868184,1,12.77,2.75,2.05,1.82,0,1
16868393,8,19.39,2.77,2.07,-1.84,0,1
16868393,7,23.38,2.35,2.04,-1.16,0,1
16868393,6,26.98,2.21,2.1,-0.68,0,1
16868393,5,42.32,2.05,2.04,-0.21,0,1
16868393,4,43.12,2.06,2.05,0.21,0,1
16868393,3,25.11,2.19,2.08,0.67,0,1
16868393,2,17.21,2.27,1.98,1.13,0,1
16868393,1,12.69,2.75,2.05,1.82,0,1
16868602,8,19.42,2.76,2.07,-1.83,0,1
16868602,7,23.41,2.35,2.04,-1.16,0,1
16868602,6,26.98,2.21,2.1,-0.68,0,1
16868602,5,42.37,2.05,2.04,-0.21,0,1
16868602,4,43.13,2.06,2.05,0.21,0,1
16868602,3,25.14,2.19,2.08,0.67,0,1
16868602,2,17.16,2.27,1.98,1.13,0,1
16868602,1,12.93,2.74,2.05,1.82,0,1
16868811,8,19.42,2.76,2.07,-1.83,0,1
16868811,7,23.39,2.35,2.04,-1.16,0,1
16868811,6,26.98,2.21,2.1,-0.68,0,1
16868811,5,42.35,2.05,2.04,-0.21,0,1
16868811,4,43.17,2.06,2.05,0.21,0,1
16868811,3,25.13,2.19,2.08,0.67,0,1
16868811,2,17.23,2.27,1.98,1.13,0,1
16868811,1,13.02,2.74,2.05,1.82,0,1
16869020,8,19.42,2.77,2.07,-1.83,0,1
16869020,7,23.4,2.35,2.04,-1.16,0,1
16869020,6,26.99,2.21,2.1,-0.68,0,1
16869020,5,42.36,2.05,2.04,-0.21,0,1
16869020,4,43.1,2.06,2.05,0.21,0,1
16869020,3,25.11,2.19,2.08,0.67,0,1
16869020,2,17.16,2.27,1.98,1.13,0,1
16869020,1,12.89,2.74,2.05,1.82,0,1
16869229,8,19.4,2.76,2.07,-1.83,0,1
16869229,7,23.38,2.35,2.04,-1.16,0,1
16869229,6,27,2.21,2.1,-0.68,0,1
16869229,5,42.34,2.05,2.04,-0.21,0,1
16869229,4,43.17,2.06,2.05,0.21,0,1
16869229,3,25.11,2.19,2.08,0.67,0,1
16869229,2,17.25,2.27,1.98,1.13,0,1
16869229,1,12.8,2.74,2.05,1.82,0,1
16869437,8,19.38,2.76,2.07,-1.83,0,1
16869437,7,23.41,2.35,2.04,-1.16,0,1
16869437,6,27.01,2.21,2.1,-0.68,0,1
16869437,5,42.34,2.05,2.04,-0.21,0,1
16869437,4,43.11,2.06,2.05,0.21,0,1
16869437,3,25.11,2.19,2.08,0.67,0,1
16869437,2,17.23,2.27,1.97,1.13,0,1
16869437,1,13.1,2.74,2.05,1.82,0,1
16869647,8,19.4,2.77,2.07,-1.83,0,1
16869647,7,23.43,2.35,2.04,-1.16,0,1
16869647,6,26.98,2.21,2.1,-0.68,0,1
16869647,5,42.35,2.05,2.04,-0.21,0,1
16869647,4,43.11,2.06,2.05,0.21,0,1
16869647,3,25.17,2.19,2.08,0.67,0,1
16869647,2,17.21,2.27,1.97,1.13,0,1
16869647,1,12.83,2.75,2.06,1.83,0,1
16869856,8,19.37,2.77,2.07,-1.84,0,1
16869856,7,23.42,2.35,2.04,-1.16,0,1
16869856,6,26.99,2.21,2.11,-0.68,0,1
16869856,5,42.35,2.05,2.04,-0.21,0,1
16869856,4,43.1,2.06,2.05,0.21,0,1
16869856,3,25.14,2.19,2.08,0.67,0,1
16869856,2,17.21,2.27,1.97,1.13,0,1
16869856,1,13.01,2.74,2.05,1.82,0,1
16870065,8,19.36,2.77,2.07,-1.83,0,1
