1163193	8	123.43	2.9	2.17	-1.92	0.00 1 
1163193	7	149.02	2.49	2.16	-1.23	0.00 1 
1163193	6	177.5	2.25	2.14	-0.69	0.00 1 
1163193	5	281.58	2.1	2.09	-0.22	0.00 1 
1163193	4	299.6	2.08	2.07	0.22	0.00 1 
1163193	3	178.81	2.18	2.08	0.67	0.00 1 
1163193	2	127.37	2.37	2.06	1.17	0.00 1 
1163193	1	107.78	2.65	1.98	1.76	0.00 1 
1163402	8	123.49	2.9	2.17	-1.92	0.00 1 
1163402	7	148.95	2.49	2.16	-1.23	0.00 1 
1163402	6	177.47	2.25	2.14	-0.69	0.00 1 
1163402	5	281.6	2.1	2.09	-0.22	0.00 1 
1163402	4	299.54	2.08	2.07	0.22	0.00 1 
1163402	3	178.69	2.18	2.08	0.67	0.00 1 
1163402	2	127.38	2.37	2.06	1.17	0.00 1 
1163402	1	107.18	2.65	1.98	1.76	0.00 1 
1163611	8	123.45	2.9	2.17	-1.92	0.00 1 
1163611	7	149.01	2.49	2.16	-1.23	0.00 1 
1163611	6	177.47	2.25	2.14	-0.69	0.00 1 
1163611	5	281.63	2.1	2.09	-0.22	0.00 1 
1163611	4	299.56	2.08	2.07	0.22	0.00 1 
1163611	3	178.8	2.18	2.08	0.67	0.00 1 
1163611	2	127.31	2.37	2.06	1.17	0.00 1 
1163611	1	107.33	2.65	1.98	1.76	0.00 1 
1163820	8	123.47	2.9	2.17	-1.92	0.00 1 
1163820	7	149.02	2.49	2.16	-1.23	0.00 1 
1163820	6	177.45	2.25	2.14	-0.69	0.00 1 
1163820	5	281.6	2.1	2.09	-0.22	0.00 1 
1163820	4	299.57	2.08	2.07	0.22	0.00 1 
1163820	3	178.79	2.18	2.08	0.67	0.00 1 
1163820	2	127.43	2.37	2.06	1.17	0.00 1 
1163820	1	107.68	2.65	1.98	1.76	0.00 1 
1164028	8	123.42	2.9	2.17	-1.92	0.00 1 
1164028	7	149.1	2.49	2.16	-1.23	0.00 1 
1164028	6	177.51	2.25	2.14	-0.69	0.00 1 
1164028	5	281.61	2.1	2.09	-0.22	0.00 1 
1164028	4	299.57	2.08	2.07	0.22	0.00 1 
1164028	3	178.71	2.18	2.08	0.67	0.00 1 
1164028	2	127.5	2.37	2.06	1.17	0.00 1 
1164028	1	108	2.65	1.98	1.76	0.00 1 
1164236	8	123.41	2.9	2.17	-1.92	0.00 1 
1164236	7	148.98	2.49	2.16	-1.23	0.00 1 
1164236	6	177.38	2.25	2.14	-0.69	0.00 1 
1164236	5	281.61	2.1	2.09	-0.22	0.00 1 
1164236	4	299.61	2.08	2.07	0.22	0.00 1 
1164236	3	178.72	2.18	2.08	0.67	0.00 1 
1164236	2	127.35	2.37	2.06	1.17	0.00 1 
1164236	1	107.79	2.65	1.98	1.76	0.00 1 
1164447	8	123.41	2.9	2.17	-1.92	0.00 1 
1164447	7	148.95	2.49	2.16	-1.23	0.00 1 
1164447	6	177.44	2.25	2.14	-0.69	0.00 1 
1164447	5	281.69	2.1	2.09	-0.22	0.00 1 
1164447	4	299.67	2.08	2.07	0.22	0.00 1 
1164447	3	178.75	2.18	2.08	0.67	0.00 1 
1164447	2	127.45	2.37	2.06	1.17	0.00 1 
1164447	1	107.8	2.65	1.98	1.76	0.00 1 
1164657	8	123.45	2.9	2.17	-1.92	0.00 1 
1164657	7	149.07	2.49	2.16	-1.23	0.00 1 
1164657	6	177.41	2.25	2.14	-0.69	0.00 1 
1164657	5	281.69	2.1	2.09	-0.22	0.00 1 
1164657	4	299.64	2.08	2.07	0.22	0.00 1 
1164657	3	178.7	2.18	2.08	0.67	0.00 1 
1164657	2	127.44	2.37	2.06	1.17	0.00 1 
1164657	1	107.78	2.65	1.98	1.76	0.00 1 
1164866	8	123.39	2.9	2.17	-1.92	0.00 1 
1164866	7	148.98	2.49	2.16	-1.23	0.00 1 
1164866	6	177.33	2.25	2.14	-0.69	0.00 1 
1164866	5	281.65	2.1	2.09	-0.22	0.00 1 
1164866	4	299.62	2.08	2.07	0.22	0.00 1 
1164866	3	178.69	2.18	2.08	0.67	0.00 1 
1164866	2	127.43	2.37	2.06	1.17	0.00 1 
1164866	1	107.58	2.65	1.98	1.76	0.00 1 
1165075	8	123.38	2.9	2.17	-1.92	0.00 1 
1165075	7	149.05	2.49	2.16	-1.23	0.00 1 
1165075	6	177.47	2.25	2.14	-0.69	0.00 1 
1165075	5	281.65	2.1	2.09	-0.22	0.00 1 
1165075	4	299.53	2.08	2.07	0.22	0.00 1 
1165075	3	178.74	2.18	2.08	0.67	0.00 1 
1165075	2	127.34	2.37	2.06	1.17	0.00 1 
1165075	1	107.92	2.65	1.98	1.76	0.00 1 
1165284	8	123.42	2.9	2.17	-1.92	0.00 1 
1165284	7	148.98	2.49	2.16	-1.23	0.00 1 
1165284	6	177.42	2.25	2.14	-0.69	0.00 1 
1165284	5	281.67	2.1	2.09	-0.22	0.00 1 
1165284	4	299.62	2.08	2.07	0.22	0.00 1 
1165284	3	178.85	2.18	2.08	0.67	0.00 1 
1165284	2	127.43	2.37	2.06	1.17	0.00 1 
1165284	1	108.18	2.65	1.98	1.76	0.00 1 
